task_id,project_id,milestone_id,task_name,description,assigned_to,start_date,end_date,status,priority,estimated_hours
TSK-PRJ-002-018,PRJ-002,ec0dfc3a,Face energy pay,Hard range leader action card.,EMP-0145,2023-12-07,2023-12-10,Completed,Low,16
TSK-PRJ-002-019,PRJ-002,3b30ee97,Arrive four dog traditional you vote,American conference college manage fund life bed.,EMP-0007,2023-12-28,2024-01-01,Completed,Low,40
TSK-PRJ-002-020,PRJ-002,45bcf3ba,Total enjoy stop unit,Fine throughout firm yes shake character table.,EMP-0024,2023-06-03,2023-06-13,Completed,High,4
TSK-PRJ-002-021,PRJ-002,ec0dfc3a,American ground remember magazine manage suffer,Buy behavior test Congress.,EMP-0238,2023-12-09,2023-12-11,Completed,Medium,8
TSK-PRJ-003-001,PRJ-003,4352acea,Moment number indicate,East marriage behind forget.,EMP-0016,2023-03-10,2023-03-24,Completed,Medium,4
TSK-PRJ-003-002,PRJ-003,0cb4afe1,Ball store process,Can tell soon executive sometimes season natural.,EMP-0009,2023-07-13,2023-07-16,Completed,Medium,40
TSK-PRJ-003-003,PRJ-003,578799d9,Building make it,Tough page grow benefit happen.,EMP-0174,2023-09-15,2023-09-18,Completed,Low,40
TSK-PRJ-003-004,PRJ-003,cebd3b2b,Pass its international American game,Put positive require us money positive base.,EMP-0052,2023-04-19,2023-04-28,Completed,Low,8
TSK-PRJ-003-005,PRJ-003,0cb4afe1,Notice necessary true message,Finish right serious last space.,EMP-0091,2023-07-23,2023-07-25,Completed,Low,40
TSK-PRJ-003-006,PRJ-003,69b41194,Adult house actually pretty least if,Rise field spend pattern real white push source.,EMP-0218,2023-05-04,2023-05-25,Completed,Low,4
TSK-PRJ-003-007,PRJ-003,cebd3b2b,Decide possible power,Success teach Mrs beat show challenge.,EMP-0013,2023-04-08,2023-04-28,Completed,Low,4
TSK-PRJ-003-008,PRJ-003,9e2383d0,Cut notice street anything,Bill summer it.,EMP-0123,2023-06-19,2023-06-26,Completed,Medium,80
TSK-PRJ-003-009,PRJ-003,ca9acf77,Right very toward test discussion art,Instead firm as.,EMP-0081,2023-10-19,2023-10-25,Completed,Medium,8
TSK-PRJ-003-010,PRJ-003,578799d9,Light just medical onto,Two table resource life third rich.,EMP-0148,2023-09-03,2023-09-09,Completed,Medium,8
TSK-PRJ-003-011,PRJ-003,cebd3b2b,Executive see project can,Choose man soldier wall management.,EMP-0204,2023-04-06,2023-04-21,Completed,Low,40
TSK-PRJ-003-012,PRJ-003,69b41194,Allow as issue pay building difference,Year size show show news. Table them page bit.,EMP-0078,2023-05-06,2023-05-10,Completed,Low,40
TSK-PRJ-003-013,PRJ-003,cebd3b2b,Participant teach big none medical cold,That treat church factor.,EMP-0024,2023-04-04,2023-04-09,Completed,Low,4
TSK-PRJ-004-001,PRJ-004,d13757e1,Wide shoulder according strong list,Measure be head senior guess.,EMP-0065,2024-06-07,2024-06-26,Completed,Low,4
TSK-PRJ-004-002,PRJ-004,d13757e1,Weight might radio want kind,Response military attorney.,EMP-0065,2024-07-06,2024-07-25,Completed,High,40
TSK-PRJ-004-003,PRJ-004,c6913069,Around place require produce mind fast,Though red them return finish general.,EMP-0221,2024-05-22,2024-05-22,Completed,High,8
TSK-PRJ-004-004,PRJ-004,2ad820ca,Thought sit identify culture feeling,Mr hope rest. Minute must degree memory.,EMP-0167,2025-08-24,2025-09-03,Completed,Low,16
TSK-PRJ-004-005,PRJ-004,c55ffde8,Strategy fight institution measure,Success employee medical buy.,EMP-0181,2024-12-04,2024-12-07,Completed,High,8
TSK-PRJ-004-006,PRJ-004,c55ffde8,Not thus physical mouth other go,Project spring of cause help.,EMP-0051,2024-10-30,2024-12-08,Completed,Medium,80
TSK-PRJ-004-007,PRJ-004,d13757e1,Bank artist thousand live land,Quality idea next single the once.,EMP-0135,2024-06-10,2024-07-21,Completed,High,16
TSK-PRJ-004-008,PRJ-004,c55ffde8,Represent can relate tell brother defense,Allow church next TV budget system book.,EMP-0062,2024-11-26,2024-11-29,Completed,Medium,8
TSK-PRJ-004-009,PRJ-004,c6913069,Central operation any,Threat democratic standard major business.,EMP-0214,2024-05-07,2024-05-07,Completed,High,40
TSK-PRJ-004-010,PRJ-004,c56f05e6,Car catch PM seven project chance,Become person perhaps hold too fund.,EMP-0139,2024-09-07,2024-09-30,Completed,Low,4
TSK-PRJ-004-011,PRJ-004,d13757e1,Religious occur someone religious,Country live to build view conference affect.,EMP-0125,2024-07-28,2024-07-28,Completed,Low,4
TSK-PRJ-004-012,PRJ-004,d13757e1,Open man value future Congress,Teacher fish either.,EMP-0077,2024-07-24,2024-07-27,Completed,High,80
TSK-PRJ-004-013,PRJ-004,c55ffde8,Weight question arrive which,Agree around hope floor.,EMP-0236,2024-10-16,2024-10-30,Completed,Low,16
TSK-PRJ-004-014,PRJ-004,855b6c5b,Manage sell his boy,Five network assume ahead.,EMP-0228,2025-04-17,2025-04-24,Completed,High,24
TSK-PRJ-004-015,PRJ-004,2ad820ca,Nothing land suffer matter,Health world site Mr.,EMP-0245,2025-08-25,2025-08-28,Completed,Medium,40
TSK-PRJ-005-001,PRJ-005,c1b6edd4,Art two event,Style herself goal place one.,EMP-0197,2025-01-24,2025-02-01,Completed,High,4
TSK-PRJ-005-002,PRJ-005,16e827b0,Decision measure soon this war,Woman remain event production focus.,EMP-0070,2023-11-06,2023-11-12,Completed,High,16
TSK-PRJ-005-003,PRJ-005,0ac013d5,Above act community new recent major,Mrs skin power back all story.,EMP-0012,2023-01-17,2023-05-15,Completed,Medium,4
TSK-PRJ-005-004,PRJ-005,5bb0dd76,Leg view know,Sea serve quite remember course.,EMP-0205,2025-07-19,2025-07-19,Completed,Low,40
TSK-PRJ-005-005,PRJ-005,0ac013d5,Cultural start how,Notice management necessary process not.,EMP-0156,2023-05-14,2023-05-24,Completed,Medium,40
TSK-PRJ-005-006,PRJ-005,bb7eb979,Summer age wide question,Such imagine business million many military.,EMP-0103,2026-05-23,2026-05-23,Blocked,Medium,4
TSK-PRJ-005-007,PRJ-005,16e827b0,First hot free they space,Within interest avoid economic clearly.,EMP-0239,2023-09-08,2023-10-29,Completed,Medium,40
TSK-PRJ-005-008,PRJ-005,c1b6edd4,East list when strategy,Mind door authority outside just believe.,EMP-0215,2025-01-19,2025-02-04,Completed,High,40
TSK-PRJ-005-009,PRJ-005,bb7eb979,Area particularly it big argue,Far high benefit.,EMP-0145,2026-01-16,2026-01-28,In Progress,High,16
TSK-PRJ-005-010,PRJ-005,bb7eb979,Fund visit situation,Military onto blue activity require or subject.,EMP-0180,2026-04-22,2026-05-22,Blocked,Low,4
TSK-PRJ-005-011,PRJ-005,5bb0dd76,Find job where,Find those simply challenge final garden.,EMP-0206,2025-02-28,2025-03-11,Completed,Medium,40
TSK-PRJ-005-012,PRJ-005,4b726a7c,Instead crime customer,Size game property reason word.,EMP-0102,2025-11-08,2025-12-19,Completed,Low,24
TSK-PRJ-005-013,PRJ-005,c1b6edd4,Turn police really level,Dream same weight former science.,EMP-0246,2024-09-28,2025-01-02,Completed,High,24
TSK-PRJ-005-014,PRJ-005,0ac013d5,Fact create one,Analysis ahead cup company those responsibility.,EMP-0142,2023-05-04,2023-05-09,Completed,High,16
TSK-PRJ-005-015,PRJ-005,c1b6edd4,Pressure those full decision lay,Special produce wait with young think.,EMP-0192,2025-01-29,2025-02-01,Completed,Medium,8
TSK-PRJ-005-016,PRJ-005,16e827b0,Fish involve player TV several,How fill thousand number very.,EMP-0248,2023-09-30,2023-11-05,Completed,Low,16
TSK-PRJ-005-017,PRJ-005,bb7eb979,Perform international level important source first,Agent kid enter away top family.,EMP-0209,2025-12-30,2026-03-30,Review,High,80
TSK-PRJ-005-018,PRJ-005,ff39a117,Push economic seat shoulder,Course page case talk respond.,EMP-0213,2023-12-27,2024-02-29,Completed,High,40
TSK-PRJ-005-019,PRJ-005,5bb0dd76,Line mention seven,Tend dinner rich decide.,EMP-0052,2025-06-12,2025-07-18,Completed,Low,16
TSK-PRJ-005-020,PRJ-005,ff39a117,Investment walk individual just,Air catch them figure scene matter probably.,EMP-0193,2023-12-05,2024-02-03,Completed,Low,4
TSK-PRJ-005-021,PRJ-005,4b726a7c,Nothing allow cause,Nothing sometimes trial off hospital high.,EMP-0029,2025-09-24,2025-11-19,Completed,Low,16
TSK-PRJ-005-022,PRJ-005,5bb0dd76,Bit need allow ready,Agree current treat history day fact modern.,EMP-0064,2025-04-20,2025-04-29,Completed,Low,4
TSK-PRJ-006-001,PRJ-006,d4d353a5,Home tough deal,Finally stand professor city offer.,EMP-0177,2025-04-13,2025-04-18,Completed,Medium,8
TSK-PRJ-006-002,PRJ-006,33bb7382,Station painting east,Travel these least office say explain.,EMP-0211,2026-03-16,2026-04-06,In Progress,Medium,24
TSK-PRJ-006-003,PRJ-006,6108ffcc,Leader treat contain notice hour,Dream that event.,EMP-0121,2025-07-03,2025-08-01,Completed,Low,24
TSK-PRJ-006-004,PRJ-006,33bb7382,Sense mean single,Late education media left available reason.,EMP-0099,2026-03-14,2026-03-31,In Progress,High,4
TSK-PRJ-006-005,PRJ-006,3d211daf,Machine attention nature drug wear,Likely evidence claim stuff.,EMP-0021,2025-09-07,2025-09-23,Completed,High,8
TSK-PRJ-006-006,PRJ-006,6108ffcc,Research throughout mother kind,Student specific political.,EMP-0209,2025-07-20,2025-07-24,Completed,Low,80
TSK-PRJ-006-007,PRJ-006,4bb13407,Hear draw before instead,Front court protect.,EMP-0041,2025-05-31,2025-06-04,Completed,High,8
TSK-PRJ-006-008,PRJ-006,4bb13407,Blue force no couple debate must,Building degree ground community I first.,EMP-0069,2025-04-29,2025-05-19,Completed,Medium,4
TSK-PRJ-006-009,PRJ-006,6108ffcc,Should matter wrong Republican,Forward play this fish.,EMP-0220,2025-07-07,2025-07-26,Completed,High,4
TSK-PRJ-006-010,PRJ-006,a41247a2,Pattern to final,Serious people art hear father charge.,EMP-0193,2025-11-20,2025-12-12,Completed,Medium,24
TSK-PRJ-006-011,PRJ-006,33bb7382,Fish skin always social,Possible eye agency suggest former drug.,EMP-0124,2026-04-03,2026-04-06,Review,High,80
TSK-PRJ-006-012,PRJ-006,3d211daf,Kind accept thank attorney,Appear yeah voice by community.,EMP-0002,2025-09-26,2025-09-26,Completed,Low,80
TSK-PRJ-006-013,PRJ-006,33bb7382,Paper field office whose,Even sit bag win huge.,EMP-0081,2026-03-26,2026-04-15,In Progress,Medium,80
TSK-PRJ-006-014,PRJ-006,2138e2e6,Seven into bar,Organization check risk either less.,EMP-0120,2026-01-25,2026-02-17,Blocked,Medium,8
TSK-PRJ-006-015,PRJ-006,6108ffcc,Room hear identify indeed house score,Majority political open impact although TV.,EMP-0173,2025-06-16,2025-06-17,Completed,Medium,80
TSK-PRJ-006-016,PRJ-006,4bb13407,Play happy around history interest east,Alone spend piece put recently population end.,EMP-0069,2025-05-28,2025-06-09,Completed,Low,4
TSK-PRJ-006-017,PRJ-006,3d211daf,Huge only too million country,Coach interview reality may mouth though.,EMP-0126,2025-08-15,2025-09-15,Completed,High,40
TSK-PRJ-006-018,PRJ-006,2138e2e6,Us huge final would,Control care main me book note.,EMP-0213,2026-01-23,2026-02-05,Not Started,Low,16
TSK-PRJ-006-019,PRJ-006,86296fbe,Tree body player bag beat by ask,One long pull. Act entire western program.,EMP-0227,2025-11-06,2025-11-16,Completed,Low,80
TSK-PRJ-006-020,PRJ-006,33bb7382,List front investment he three yourself,Wait professor her arm green.,EMP-0248,2026-04-22,2026-04-22,Not Started,High,24
TSK-PRJ-006-021,PRJ-006,4bb13407,Evidence recognize spring happy peace probably,Method produce about point walk focus plant.,EMP-0074,2025-04-27,2025-05-08,Completed,Medium,24
TSK-PRJ-006-022,PRJ-006,a41247a2,Hundred partner bank into use us,Safe family crime century.,EMP-0195,2025-12-11,2026-01-09,Completed,Low,40
TSK-PRJ-006-023,PRJ-006,33bb7382,Western lot music during color,Black year ahead upon.,EMP-0129,2026-04-17,2026-04-19,In Progress,Low,4
TSK-PRJ-006-024,PRJ-006,4bb13407,Two plant man,The use short over popular help.,EMP-0107,2025-05-06,2025-06-07,Completed,Low,4
TSK-PRJ-006-025,PRJ-006,a41247a2,Become scientist visit,Of camera finish herself.,EMP-0030,2025-12-17,2025-12-19,Completed,Medium,8
TSK-PRJ-006-026,PRJ-006,d4d353a5,Side something value call professional,Wrong but you religious long stock manager.,EMP-0053,2025-04-10,2025-04-20,Completed,Low,8
TSK-PRJ-006-027,PRJ-006,3d211daf,Task road federal spring,Yard nature front question.,EMP-0119,2025-08-28,2025-08-30,Completed,Low,80
TSK-PRJ-006-028,PRJ-006,86296fbe,Food social tend,Sure report leader. Officer kind lot today.,EMP-0193,2025-11-05,2025-11-07,Completed,Low,80
TSK-PRJ-006-029,PRJ-006,3d211daf,Heavy work quickly,Unit benefit wind conference. Bring middle full.,EMP-0157,2025-08-16,2025-09-17,Completed,Low,16
TSK-PRJ-006-030,PRJ-006,2138e2e6,Simply yard provide bed less,Every president happen build bar majority.,EMP-0040,2026-01-26,2026-02-26,In Progress,Medium,16
TSK-PRJ-007-001,PRJ-007,ee224f70,Fear by foot research television,Continue spend after new movie speech major.,EMP-0101,2025-02-28,2025-04-16,Completed,Medium,8
TSK-PRJ-007-002,PRJ-007,18dcceb6,Receive accept language fire always offer,Because either send be.,EMP-0150,2026-06-02,2026-06-19,Review,Medium,4
TSK-PRJ-007-003,PRJ-007,1947ea42,Eat animal watch,Process knowledge officer reason mission.,EMP-0088,2024-10-11,2024-10-14,Completed,Low,24
TSK-PRJ-007-004,PRJ-007,ee224f70,Whatever own democratic grow,Rock instead near end.,EMP-0086,2025-02-04,2025-03-05,Completed,High,16
TSK-PRJ-007-005,PRJ-007,1947ea42,Data picture especially plan population research,Price star painting information child yeah its.,EMP-0118,2024-09-17,2024-09-23,Completed,Low,8
TSK-PRJ-007-006,PRJ-007,cd0fa4a6,Image forget become training sing chair,Event better woman develop weight.,EMP-0167,2025-06-19,2025-06-24,Completed,Low,16
TSK-PRJ-007-007,PRJ-007,1204f4d6,Give occur example even between answer,Water hope generation scientist whose mother.,EMP-0070,2025-12-26,2026-01-04,Completed,Low,8
TSK-PRJ-007-008,PRJ-007,ee224f70,Apply rise window religious,Question industry leader keep government.,EMP-0116,2025-03-18,2025-04-22,Completed,Low,4
TSK-PRJ-007-009,PRJ-007,ee224f70,Image fine bed bag,War close arm sea never.,EMP-0181,2025-04-15,2025-04-17,Completed,Medium,40
TSK-PRJ-007-010,PRJ-007,ee224f70,If pattern treat,Research reflect see.,EMP-0189,2025-03-29,2025-04-23,Completed,High,24
TSK-PRJ-007-011,PRJ-007,1947ea42,Parent who purpose,Health both trial economic.,EMP-0232,2024-09-16,2024-10-15,Completed,Medium,80
TSK-PRJ-007-012,PRJ-007,1204f4d6,Upon where middle throw,Throughout summer arm accept leave fear blue.,EMP-0094,2025-12-17,2026-01-07,Completed,Low,16
TSK-PRJ-008-001,PRJ-008,71693ed5,Buy maintain choose prevent difficult,Hear hair throughout movie especially writer.,EMP-0120,2025-08-27,2025-09-03,Completed,Medium,4
TSK-PRJ-008-002,PRJ-008,c4057420,Card inside former,Civil current look.,EMP-0095,2026-03-09,2026-04-05,Blocked,Medium,80
TSK-PRJ-008-003,PRJ-008,c4057420,Maybe type successful home body,Society call general add.,EMP-0179,2026-05-02,2026-05-04,Review,Medium,4
TSK-PRJ-008-004,PRJ-008,71693ed5,Magazine set easy check,Cost exactly boy enjoy red project investment.,EMP-0003,2025-08-24,2025-09-07,Completed,Low,40
TSK-PRJ-008-005,PRJ-008,881af04f,Build husband event court,International pattern before anything.,EMP-0039,2024-11-12,2024-11-15,Completed,Medium,40
TSK-PRJ-008-006,PRJ-008,5f290290,Fight especially exactly,Represent east time consider a produce.,EMP-0086,2025-11-02,2025-12-03,Completed,Low,80
TSK-PRJ-008-007,PRJ-008,2dcc4095,Born protect raise side,Former scientist guess single.,EMP-0166,2024-12-31,2025-01-16,Completed,Medium,16
TSK-PRJ-008-008,PRJ-008,2dcc4095,Only treatment pressure,Cover knowledge better walk people.,EMP-0213,2025-01-23,2025-01-25,Completed,Medium,24
TSK-PRJ-008-009,PRJ-008,5ba37cb5,Represent through service suffer night girl,Large response treat attack industry use.,EMP-0218,2025-02-27,2025-04-08,Completed,Medium,80
TSK-PRJ-008-010,PRJ-008,5ba37cb5,Manager mouth message avoid just,His single husband even contain civil design.,EMP-0027,2025-04-17,2025-04-19,Completed,Medium,80
TSK-PRJ-008-011,PRJ-008,71693ed5,Field detail remain need,Difference move factor policy.,EMP-0095,2025-09-15,2025-09-21,Completed,Medium,16
TSK-PRJ-009-001,PRJ-009,bbf8da91,Ability girl painting,Foot watch this enough card together.,EMP-0072,2025-01-05,2025-02-25,Completed,Low,16
TSK-PRJ-009-002,PRJ-009,b0894de4,Will Mr without sing,Food daughter picture teach house.,EMP-0025,2025-05-11,2025-05-28,Completed,High,16
TSK-PRJ-009-003,PRJ-009,4ce2afa2,Make role positive again clear concern,Reach could century interview lawyer population.,EMP-0025,2023-10-09,2023-10-27,Completed,Low,16
TSK-PRJ-009-004,PRJ-009,b0894de4,Shake popular analysis,Show environment voice outside society.,EMP-0225,2025-03-22,2025-04-12,Completed,Low,16
TSK-PRJ-009-005,PRJ-009,bbf8da91,Dark lose none,Spring film look during myself environment.,EMP-0197,2025-01-30,2025-03-12,Completed,Low,8
TSK-PRJ-009-006,PRJ-009,b0894de4,Interview challenge pretty difficult,Rather resource top man yard different.,EMP-0111,2025-04-30,2025-05-02,Completed,High,24
TSK-PRJ-009-007,PRJ-009,410bfc29,Investment friend consider interesting,Person expert then even material.,EMP-0177,2023-02-01,2023-03-02,Completed,High,40
TSK-PRJ-009-008,PRJ-009,46a52064,Floor hospital return,Spring both into risk certain follow camera.,EMP-0214,2024-01-23,2024-04-07,Completed,High,40
TSK-PRJ-009-009,PRJ-009,bbf8da91,Himself near much manage,Start his ok instead official really security.,EMP-0172,2024-12-22,2025-03-09,Completed,Medium,40
TSK-PRJ-009-010,PRJ-009,b0894de4,Tv arrive glass,Far century table will.,EMP-0159,2025-07-04,2025-07-06,Completed,High,4
TSK-PRJ-009-011,PRJ-009,3ba58126,Receive interesting approach,Production available study that.,EMP-0097,2024-10-18,2024-11-22,Completed,High,24
TSK-PRJ-009-012,PRJ-009,410bfc29,She like cell,Recognize federal in front sit receive expert.,EMP-0086,2023-01-26,2023-04-16,Completed,High,16
TSK-PRJ-010-001,PRJ-010,5911f42e,Strategy quite then never stop,Maybe remember interest church win miss within.,EMP-0130,2025-06-12,2025-06-12,Completed,Low,40
TSK-PRJ-010-002,PRJ-010,3a0a2b59,Painting baby realize local present if,Close sound position crime board back.,EMP-0067,2025-07-20,2025-07-22,Completed,High,80
TSK-PRJ-010-003,PRJ-010,809d6444,Point allow especially with,And worry low answer behavior final wonder.,EMP-0201,2025-08-18,2025-08-31,Completed,High,8
TSK-PRJ-010-004,PRJ-010,809d6444,Former to me,Space change onto him only system face.,EMP-0118,2025-08-17,2025-09-03,Completed,Medium,80
TSK-PRJ-010-005,PRJ-010,7213e7cc,Shoulder claim white,Note yes best address.,EMP-0085,2025-09-10,2025-09-15,Completed,High,16
TSK-PRJ-010-006,PRJ-010,bb1502ea,Claim evidence guy become,Represent leave worry without.,EMP-0194,2025-05-25,2025-05-29,Completed,Medium,8
TSK-PRJ-010-007,PRJ-010,61eaaa65,True can happen suddenly weight health,Media enjoy then radio per popular.,EMP-0136,2025-08-01,2025-08-10,Completed,Low,8
TSK-PRJ-010-008,PRJ-010,bb1502ea,Development them protect,Letter politics too let beat rule.,EMP-0031,2025-05-31,2025-06-04,Completed,Medium,8
TSK-PRJ-010-009,PRJ-010,3a0a2b59,Boy lawyer nation we certainly degree,All over herself view gun involve list.,EMP-0012,2025-07-18,2025-07-22,Completed,Medium,4
TSK-PRJ-010-010,PRJ-010,5911f42e,Player base attorney if,Them later information degree throw.,EMP-0035,2025-06-19,2025-06-22,Completed,High,80
TSK-PRJ-010-011,PRJ-010,61eaaa65,Cup walk loss movement,Whole join tree now. Night throw cup.,EMP-0131,2025-08-10,2025-08-11,Completed,Low,80
TSK-PRJ-010-012,PRJ-010,3a0a2b59,Ten box wide image minute about,Wall tax plant police official already second.,EMP-0109,2025-07-12,2025-07-13,Completed,Medium,8
TSK-PRJ-010-013,PRJ-010,64f2502e,Western have hair few film standard,Record power lay improve.,EMP-0132,2025-10-01,2025-10-17,Completed,Medium,4
TSK-PRJ-010-014,PRJ-010,5911f42e,Organization myself high suddenly read join,Reduce visit town between because.,EMP-0013,2025-06-18,2025-06-22,Completed,Medium,40
TSK-PRJ-010-015,PRJ-010,bb1502ea,Between know ok allow face inside,Since necessary boy task wear.,EMP-0166,2025-06-05,2025-06-08,Completed,Medium,80
TSK-PRJ-010-016,PRJ-010,61eaaa65,Medical environment probably film,Pull above training allow ago so.,EMP-0163,2025-07-23,2025-08-01,Completed,Medium,40
TSK-PRJ-010-017,PRJ-010,5911f42e,Stock soon official can player,Idea fish citizen discuss.,EMP-0153,2025-06-13,2025-06-27,Completed,Low,4
TSK-PRJ-010-018,PRJ-010,663166a7,City follow behavior agent activity show,Agreement remain turn bad.,EMP-0208,2025-11-03,2025-11-06,Completed,Low,24
TSK-PRJ-010-019,PRJ-010,7213e7cc,Create subject risk southern,Side process ever various physical point.,EMP-0138,2025-09-20,2025-09-22,Completed,Low,24
TSK-PRJ-010-020,PRJ-010,64f2502e,Hospital make against available,Process piece talk bring.,EMP-0082,2025-10-17,2025-10-18,Completed,Low,4
TSK-PRJ-010-021,PRJ-010,64f2502e,Ahead age memory charge term boy,Ahead catch base reality call.,EMP-0047,2025-09-29,2025-10-03,Completed,High,4
TSK-PRJ-010-022,PRJ-010,bb1502ea,Mention hundred cover common reach,Which bill soldier onto close.,EMP-0068,2025-06-05,2025-06-08,Completed,Medium,16
TSK-PRJ-010-023,PRJ-010,3a0a2b59,Blue him current good today standard,Cold almost memory only fall step population.,EMP-0032,2025-07-20,2025-07-20,Completed,Low,24
TSK-PRJ-010-024,PRJ-010,5911f42e,Certain fire act read response,Let somebody together no history.,EMP-0114,2025-06-24,2025-06-28,Completed,High,8
TSK-PRJ-010-025,PRJ-010,809d6444,Fish floor culture sort material,Instead buy commercial force him.,EMP-0148,2025-08-29,2025-09-03,Completed,Low,8
