assignment_id,task_id,employee_id,role,start_date,end_date,allocated_hours
61016227,TSK-PRJ-004-003,EMP-0221,Lead,2024-05-22,2024-05-22,8
e29b1251,TSK-PRJ-004-003,EMP-0207,Support,2024-05-22,2024-05-22,3
0c14c995,TSK-PRJ-004-004,EMP-0167,Lead,2025-08-24,2025-09-03,16
3c253eb3,TSK-PRJ-004-004,EMP-0070,QA,2025-08-24,2025-09-03,6
7d7784e4,TSK-PRJ-004-004,EMP-0009,Reviewer,2025-08-24,2025-09-03,6
f44a99b5,TSK-PRJ-004-005,EMP-0181,Lead,2024-12-04,2024-12-07,8
04a027a2,TSK-PRJ-004-006,EMP-0051,Lead,2024-10-30,2024-12-08,80
5e5dbba6,TSK-PRJ-004-006,EMP-0072,Support,2024-10-30,2024-12-08,37
8ac2b0e9,TSK-PRJ-004-007,EMP-0135,Lead,2024-06-10,2024-07-21,16
65de0d3a,TSK-PRJ-004-007,EMP-0141,Reviewer,2024-06-10,2024-07-21,1
fd759dd2,TSK-PRJ-004-007,EMP-0128,Reviewer,2024-06-10,2024-07-21,7
fcaf5425,TSK-PRJ-004-007,EMP-0244,Support,2024-06-10,2024-07-21,7
851475b4,TSK-PRJ-004-008,EMP-0062,Lead,2024-11-26,2024-11-29,8
1506814a,TSK-PRJ-004-009,EMP-0214,Lead,2024-05-07,2024-05-07,40
d2fdb7e2,TSK-PRJ-004-009,EMP-0008,Support,2024-05-07,2024-05-07,5
bdecc95f,TSK-PRJ-004-009,EMP-0217,QA,2024-05-07,2024-05-07,4
628f71fc,TSK-PRJ-004-009,EMP-0143,QA,2024-05-07,2024-05-07,12
4ca47b6e,TSK-PRJ-004-010,EMP-0139,Lead,2024-09-07,2024-09-30,4
fba8f7ed,TSK-PRJ-004-010,EMP-0220,QA,2024-09-07,2024-09-30,1
e51582f3,TSK-PRJ-004-011,EMP-0125,Lead,2024-07-28,2024-07-28,4
2048018c,TSK-PRJ-004-011,EMP-0170,Support,2024-07-28,2024-07-28,1
955917d6,TSK-PRJ-004-012,EMP-0077,Lead,2024-07-24,2024-07-27,80
1dd57b5e,TSK-PRJ-004-012,EMP-0020,Reviewer,2024-07-24,2024-07-27,29
3392f492,TSK-PRJ-004-012,EMP-0141,QA,2024-07-24,2024-07-27,36
f97d7124,TSK-PRJ-004-012,EMP-0017,Reviewer,2024-07-24,2024-07-27,19
386eaf14,TSK-PRJ-004-013,EMP-0236,Lead,2024-10-16,2024-10-30,16
58090bcf,TSK-PRJ-004-013,EMP-0038,Support,2024-10-16,2024-10-30,1
2c3be788,TSK-PRJ-004-014,EMP-0228,Lead,2025-04-17,2025-04-24,24
fd186564,TSK-PRJ-004-014,EMP-0128,QA,2025-04-17,2025-04-24,4
bdf9ee7c,TSK-PRJ-004-014,EMP-0057,Support,2025-04-17,2025-04-24,2
f75aefa5,TSK-PRJ-004-014,EMP-0235,Support,2025-04-17,2025-04-24,6
8a1cb597,TSK-PRJ-004-015,EMP-0245,Lead,2025-08-25,2025-08-28,40
4ce913a0,TSK-PRJ-004-015,EMP-0157,Support,2025-08-25,2025-08-28,15
0b0feea9,TSK-PRJ-004-015,EMP-0210,Support,2025-08-25,2025-08-28,15
8d2670fd,TSK-PRJ-005-001,EMP-0197,Lead,2025-01-24,2025-02-01,4
529cb29f,TSK-PRJ-005-001,EMP-0037,QA,2025-01-24,2025-02-01,1
18e6914e,TSK-PRJ-005-001,EMP-0105,QA,2025-01-24,2025-02-01,1
bb72bdb4,TSK-PRJ-005-001,EMP-0022,Support,2025-01-24,2025-02-01,1
486689cd,TSK-PRJ-005-002,EMP-0070,Lead,2023-11-06,2023-11-12,16
e46b2af9,TSK-PRJ-005-002,EMP-0011,QA,2023-11-06,2023-11-12,7
7351d3e0,TSK-PRJ-005-003,EMP-0012,Lead,2023-01-17,2023-05-15,4
f412b349,TSK-PRJ-005-004,EMP-0205,Lead,2025-07-19,2025-07-19,40
149f0b3d,TSK-PRJ-005-004,EMP-0132,Support,2025-07-19,2025-07-19,17
34712884,TSK-PRJ-005-005,EMP-0156,Lead,2023-05-14,2023-05-24,40
192004bd,TSK-PRJ-005-005,EMP-0167,Support,2023-05-14,2023-05-24,16
835a0fda,TSK-PRJ-005-005,EMP-0197,Reviewer,2023-05-14,2023-05-24,14
12d707d9,TSK-PRJ-005-006,EMP-0103,Lead,2026-05-23,2026-05-23,4
c4e84692,TSK-PRJ-005-006,EMP-0186,QA,2026-05-23,2026-05-23,1
afedc1f3,TSK-PRJ-005-007,EMP-0239,Lead,2023-09-08,2023-10-29,40
ad9855fc,TSK-PRJ-005-007,EMP-0142,QA,2023-09-08,2023-10-29,4
128fb3b9,TSK-PRJ-005-008,EMP-0215,Lead,2025-01-19,2025-02-04,40
d51b840f,TSK-PRJ-005-008,EMP-0039,Support,2025-01-19,2025-02-04,12
d9ba0472,TSK-PRJ-005-008,EMP-0057,QA,2025-01-19,2025-02-04,12
e0150c0c,TSK-PRJ-005-009,EMP-0145,Lead,2026-01-16,2026-01-28,16
b1ee1d86,TSK-PRJ-005-009,EMP-0030,QA,2026-01-16,2026-01-28,5
42ab7894,TSK-PRJ-005-009,EMP-0071,Reviewer,2026-01-16,2026-01-28,5
085faac9,TSK-PRJ-005-010,EMP-0180,Lead,2026-04-22,2026-05-22,4
ad492005,TSK-PRJ-005-011,EMP-0206,Lead,2025-02-28,2025-03-11,40
fcb1f542,TSK-PRJ-005-011,EMP-0174,QA,2025-02-28,2025-03-11,16
e9617b0f,TSK-PRJ-005-011,EMP-0194,QA,2025-02-28,2025-03-11,4
a269c0c2,TSK-PRJ-005-012,EMP-0102,Lead,2025-11-08,2025-12-19,24
ca6fbea9,TSK-PRJ-005-012,EMP-0216,QA,2025-11-08,2025-12-19,3
d1a2f78d,TSK-PRJ-005-013,EMP-0246,Lead,2024-09-28,2025-01-02,24
31151c58,TSK-PRJ-005-013,EMP-0238,Reviewer,2024-09-28,2025-01-02,10
73c30ff6,TSK-PRJ-005-013,EMP-0167,QA,2024-09-28,2025-01-02,3
1521dfb4,TSK-PRJ-005-013,EMP-0178,Support,2024-09-28,2025-01-02,5
f797f69b,TSK-PRJ-005-014,EMP-0142,Lead,2023-05-04,2023-05-09,16
68d5e91c,TSK-PRJ-005-015,EMP-0192,Lead,2025-01-29,2025-02-01,8
4e4d3aca,TSK-PRJ-005-016,EMP-0248,Lead,2023-09-30,2023-11-05,16
b120af1d,TSK-PRJ-005-016,EMP-0047,QA,2023-09-30,2023-11-05,2
853f9c64,TSK-PRJ-005-016,EMP-0221,Support,2023-09-30,2023-11-05,1
13e05833,TSK-PRJ-005-017,EMP-0209,Lead,2025-12-30,2026-03-30,80
f99d2db5,TSK-PRJ-005-018,EMP-0213,Lead,2023-12-27,2024-02-29,40
595cfa33,TSK-PRJ-005-019,EMP-0052,Lead,2025-06-12,2025-07-18,16
ec9865b4,TSK-PRJ-005-019,EMP-0219,Reviewer,2025-06-12,2025-07-18,5
0eaad00d,TSK-PRJ-005-019,EMP-0210,QA,2025-06-12,2025-07-18,5
19d9a33a,TSK-PRJ-005-020,EMP-0193,Lead,2023-12-05,2024-02-03,4
b5a0cbae,TSK-PRJ-005-021,EMP-0029,Lead,2025-09-24,2025-11-19,16
e0ee9c89,TSK-PRJ-005-021,EMP-0047,Reviewer,2025-09-24,2025-11-19,7
f7e53755,TSK-PRJ-005-021,EMP-0207,Reviewer,2025-09-24,2025-11-19,3
5b99bf7e,TSK-PRJ-005-021,EMP-0157,QA,2025-09-24,2025-11-19,6
1bf1a566,TSK-PRJ-005-022,EMP-0064,Lead,2025-04-20,2025-04-29,4
f72a95bc,TSK-PRJ-005-022,EMP-0168,Support,2025-04-20,2025-04-29,1
313ace7e,TSK-PRJ-005-022,EMP-0105,Support,2025-04-20,2025-04-29,1
ecdc9da7,TSK-PRJ-006-001,EMP-0177,Lead,2025-04-13,2025-04-18,8
b9a27cd5,TSK-PRJ-006-001,EMP-0071,Support,2025-04-13,2025-04-18,3
534ab8f1,TSK-PRJ-006-002,EMP-0211,Lead,2026-03-16,2026-04-06,24
e25383b0,TSK-PRJ-006-002,EMP-0239,Reviewer,2026-03-16,2026-04-06,10
629b9fc9,TSK-PRJ-006-002,EMP-0142,Support,2026-03-16,2026-04-06,8
5c73e1ed,TSK-PRJ-006-003,EMP-0121,Lead,2025-07-03,2025-08-01,24
44d89a45,TSK-PRJ-006-003,EMP-0234,Support,2025-07-03,2025-08-01,11
a9c50632,TSK-PRJ-006-003,EMP-0006,Reviewer,2025-07-03,2025-08-01,6
b13feb72,TSK-PRJ-006-004,EMP-0099,Lead,2026-03-14,2026-03-31,4
906128df,TSK-PRJ-006-004,EMP-0229,Support,2026-03-14,2026-03-31,1
100aa7b6,TSK-PRJ-006-005,EMP-0021,Lead,2025-09-07,2025-09-23,8
9cb60a96,TSK-PRJ-006-005,EMP-0226,Reviewer,2025-09-07,2025-09-23,2
1f042c14,TSK-PRJ-006-006,EMP-0209,Lead,2025-07-20,2025-07-24,80
4178bae7,TSK-PRJ-006-007,EMP-0041,Lead,2025-05-31,2025-06-04,8
6e6af823,TSK-PRJ-006-008,EMP-0069,Lead,2025-04-29,2025-05-19,4
e283a8a0,TSK-PRJ-006-008,EMP-0214,Reviewer,2025-04-29,2025-05-19,1
f83296c1,TSK-PRJ-006-008,EMP-0130,Reviewer,2025-04-29,2025-05-19,1
c008d638,TSK-PRJ-006-009,EMP-0220,Lead,2025-07-07,2025-07-26,4
67fe3c11,TSK-PRJ-006-009,EMP-0151,Reviewer,2025-07-07,2025-07-26,1
c1d37c44,TSK-PRJ-006-009,EMP-0160,Reviewer,2025-07-07,2025-07-26,1
694cad07,TSK-PRJ-006-009,EMP-0109,QA,2025-07-07,2025-07-26,1
1f9a6964,TSK-PRJ-006-010,EMP-0193,Lead,2025-11-20,2025-12-12,24
69b5d3d9,TSK-PRJ-006-010,EMP-0222,QA,2025-11-20,2025-12-12,11
4c6f232a,TSK-PRJ-006-010,EMP-0033,QA,2025-11-20,2025-12-12,6
b3e3cb18,TSK-PRJ-006-010,EMP-0230,Support,2025-11-20,2025-12-12,5
0078fc81,TSK-PRJ-006-011,EMP-0124,Lead,2026-04-03,2026-04-06,80
b5a8db84,TSK-PRJ-006-012,EMP-0002,Lead,2025-09-26,2025-09-26,80
b22cc70f,TSK-PRJ-006-012,EMP-0063,QA,2025-09-26,2025-09-26,17
746aed70,TSK-PRJ-006-012,EMP-0098,Support,2025-09-26,2025-09-26,34
5656a671,TSK-PRJ-006-013,EMP-0081,Lead,2026-03-26,2026-04-15,80
fca89f60,TSK-PRJ-006-013,EMP-0006,Support,2026-03-26,2026-04-15,10
e7dae3c1,TSK-PRJ-006-013,EMP-0009,QA,2026-03-26,2026-04-15,21
8c60d087,TSK-PRJ-006-014,EMP-0120,Lead,2026-01-25,2026-02-17,8
fbfddbf0,TSK-PRJ-006-014,EMP-0083,QA,2026-01-25,2026-02-17,2
8143d2c5,TSK-PRJ-006-014,EMP-0078,Support,2026-01-25,2026-02-17,1
3da802e1,TSK-PRJ-006-014,EMP-0026,Reviewer,2026-01-25,2026-02-17,1
e413e5a0,TSK-PRJ-006-015,EMP-0173,Lead,2025-06-16,2025-06-17,80
815bc972,TSK-PRJ-006-015,EMP-0186,Reviewer,2025-06-16,2025-06-17,30
438af48f,TSK-PRJ-006-015,EMP-0094,Reviewer,2025-06-16,2025-06-17,14
0e47c845,TSK-PRJ-006-016,EMP-0069,Lead,2025-05-28,2025-06-09,4
832f2f67,TSK-PRJ-006-016,EMP-0009,Reviewer,2025-05-28,2025-06-09,1
bafaba96,TSK-PRJ-006-016,EMP-0086,QA,2025-05-28,2025-06-09,1
037c0738,TSK-PRJ-006-016,EMP-0162,Reviewer,2025-05-28,2025-06-09,1
5e01bd99,TSK-PRJ-006-017,EMP-0126,Lead,2025-08-15,2025-09-15,40
e74f76ae,TSK-PRJ-006-017,EMP-0197,QA,2025-08-15,2025-09-15,14
453424db,TSK-PRJ-006-017,EMP-0204,Support,2025-08-15,2025-09-15,18
119581d3,TSK-PRJ-006-018,EMP-0213,Lead,2026-01-23,2026-02-05,16
65b25d35,TSK-PRJ-006-018,EMP-0231,Support,2026-01-23,2026-02-05,7
7213a7e0,TSK-PRJ-006-018,EMP-0197,Reviewer,2026-01-23,2026-02-05,2
06ba3b35,TSK-PRJ-006-018,EMP-0144,QA,2026-01-23,2026-02-05,7
2f5dcc06,TSK-PRJ-006-019,EMP-0227,Lead,2025-11-06,2025-11-16,80
eca0b24e,TSK-PRJ-006-019,EMP-0044,Support,2025-11-06,2025-11-16,38
d52a66e7,TSK-PRJ-006-020,EMP-0248,Lead,2026-04-22,2026-04-22,24
145e8dbb,TSK-PRJ-006-021,EMP-0074,Lead,2025-04-27,2025-05-08,24
598e3b6e,TSK-PRJ-006-021,EMP-0098,Support,2025-04-27,2025-05-08,4
de85c4c3,TSK-PRJ-006-021,EMP-0211,Reviewer,2025-04-27,2025-05-08,3
d6594627,TSK-PRJ-006-022,EMP-0195,Lead,2025-12-11,2026-01-09,40
5f852f91,TSK-PRJ-006-022,EMP-0045,QA,2025-12-11,2026-01-09,18
8d436648,TSK-PRJ-006-022,EMP-0153,QA,2025-12-11,2026-01-09,5
b7dad6c1,TSK-PRJ-006-022,EMP-0229,Reviewer,2025-12-11,2026-01-09,12
2adf10e9,TSK-PRJ-006-023,EMP-0129,Lead,2026-04-17,2026-04-19,4
3f2f7d5a,TSK-PRJ-006-024,EMP-0107,Lead,2025-05-06,2025-06-07,4
234222b3,TSK-PRJ-006-024,EMP-0204,Reviewer,2025-05-06,2025-06-07,1
20d2b212,TSK-PRJ-006-025,EMP-0030,Lead,2025-12-17,2025-12-19,8
43b58ade,TSK-PRJ-006-025,EMP-0160,Reviewer,2025-12-17,2025-12-19,2
ed1a5acd,TSK-PRJ-006-026,EMP-0053,Lead,2025-04-10,2025-04-20,8
9107c1b1,TSK-PRJ-006-027,EMP-0119,Lead,2025-08-28,2025-08-30,80
297fa0b9,TSK-PRJ-006-028,EMP-0193,Lead,2025-11-05,2025-11-07,80
9e020541,TSK-PRJ-006-028,EMP-0036,Reviewer,2025-11-05,2025-11-07,16
757e21aa,TSK-PRJ-006-029,EMP-0157,Lead,2025-08-16,2025-09-17,16
5079d01b,TSK-PRJ-006-029,EMP-0177,QA,2025-08-16,2025-09-17,6
a5da1e52,TSK-PRJ-006-029,EMP-0190,QA,2025-08-16,2025-09-17,7
2546a888,TSK-PRJ-006-030,EMP-0040,Lead,2026-01-26,2026-02-26,16
55ea3426,TSK-PRJ-007-001,EMP-0101,Lead,2025-02-28,2025-04-16,8
c0e5f034,TSK-PRJ-007-001,EMP-0230,QA,2025-02-28,2025-04-16,1
3e858841,TSK-PRJ-007-001,EMP-0030,QA,2025-02-28,2025-04-16,3
f57443d3,TSK-PRJ-007-002,EMP-0150,Lead,2026-06-02,2026-06-19,4
231ea008,TSK-PRJ-007-003,EMP-0088,Lead,2024-10-11,2024-10-14,24
0f80aa7a,TSK-PRJ-007-003,EMP-0042,QA,2024-10-11,2024-10-14,6
2374585c,TSK-PRJ-007-003,EMP-0100,Support,2024-10-11,2024-10-14,7
38381149,TSK-PRJ-007-003,EMP-0154,Reviewer,2024-10-11,2024-10-14,11
1cf58421,TSK-PRJ-007-004,EMP-0086,Lead,2025-02-04,2025-03-05,16
6c9e7811,TSK-PRJ-007-005,EMP-0118,Lead,2024-09-17,2024-09-23,8
2f5680e2,TSK-PRJ-007-005,EMP-0209,QA,2024-09-17,2024-09-23,3
77086eea,TSK-PRJ-007-005,EMP-0215,QA,2024-09-17,2024-09-23,2
ad8a19d7,TSK-PRJ-007-005,EMP-0130,QA,2024-09-17,2024-09-23,1
f6eb0a2e,TSK-PRJ-007-006,EMP-0167,Lead,2025-06-19,2025-06-24,16
a9ee2fcd,TSK-PRJ-007-006,EMP-0221,QA,2025-06-19,2025-06-24,5
bd2e233a,TSK-PRJ-007-006,EMP-0033,Reviewer,2025-06-19,2025-06-24,1
